id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
wilder-world,wild,Wilder World,https://coin-images.coingecko.com/coins/images/15407/large/wld-logo.png?1712273448,0.0191805,9200823,1209,9599025,173568.0,0.0191845,0.01866336,0.00020873,1.1002,115179.0,1.26771,479228433.03120714,499968908.6318912,500000000.0,7.44,-99.74207,2021-11-27T15:44:06.182Z,0.0008609,2128.4312,2021-07-10T21:13:48.532Z,,2026-06-20T00:04:56.989Z
bouncebit,bb,BounceBit,https://coin-images.coingecko.com/coins/images/37144/large/bb.jpeg?1713439092,0.02256627,9188447,1210,47120241,2589296.0,0.02260057,0.02145304,0.00072384,3.31394,223087.0,2.48833,409500000.0,2100000000.0,2100000000.0,0.865772,-97.41264,2024-06-06T00:10:33.261Z,0.0187266,19.61953,2026-06-06T05:10:17.330Z,,2026-06-20T00:04:44.583Z
keep-network,keep,Keep Network,https://coin-images.coingecko.com/coins/images/3373/large/IuNzUb5b_400x400.jpg?1696504072,0.01670468,9180776,1211,16700935,479.05,0.01725048,0.01666816,-0.000481379775583646,-2.80099,-266763.6009293087,-2.82363,549716300.2685891,1000000000.0,1000000000.0,6.1,-99.72611,2020-05-15T00:00:00.000Z,0.01631675,2.39715,2026-06-06T08:15:43.147Z,,2026-06-20T00:04:50.414Z
firmachain,fct,Firmachain,https://coin-images.coingecko.com/coins/images/9892/large/6mHcLurm_400x400.jpg?1696509941,0.00769947,9177134,1212,9254499,101526.0,0.0076986,0.00753055,8.905e-05,1.17009,122394.0,1.35171,1191119363.579268,1201160820.020422,,0.44136,-98.25521,2021-04-02T10:28:21.478Z,0.00753055,2.26071,2026-06-19T05:16:09.914Z,,2026-06-20T00:04:50.711Z
bxn,bxn,BXN,https://coin-images.coingecko.com/coins/images/36544/large/bxn-200x200.png?1711715002,0.00057771,9174994,1213,28807922,399646.0,0.00057652,0.00056753,4.99e-06,0.87104,43218.0,0.47327,15924428376.99543,49999999999.0,49999999999.0,0.01626166,-96.45476,2024-04-04T11:25:36.451Z,0.00056715,1.65162,2026-06-18T17:31:47.972Z,,2026-06-20T00:04:44.349Z
alchemix,alcx,Alchemix,https://coin-images.coingecko.com/coins/images/14113/large/Alchemix.png?1696513834,3.63,9151733,1214,11476961,358901.0,3.67,3.62,-0.03345083496189183,-0.913,-85392.23811533675,-0.92445,2523631.905392632,3164823.883511899,,2066.2,-99.82443,2021-03-20T19:33:19.740Z,3.29,10.31075,2026-06-06T05:20:44.346Z,,2026-06-20T00:04:42.850Z
saffron-finance,sfi,saffron.finance,https://coin-images.coingecko.com/coins/images/13117/large/sfi_red_250px.png?1696512904,110.7,9148209,1215,10528481,34943.0,117.16,114.63,-5.956377374104804,-5.10578,-192212.96022498235,-2.05786,80045.34257009129,92122.50184921881,100000.0,3496.46,-96.72915,2021-02-20T06:56:42.568Z,5.55,1961.5351,2025-02-19T11:40:58.687Z,,2026-06-20T00:04:44.485Z
naws-ai,naws,NAWS.AI,https://coin-images.coingecko.com/coins/images/50559/large/naws_token_200x200.png?1728586411,0.00457423,9130931,1216,45742432,858361.0,0.00470944,0.00409574,-0.000135093741799258,-2.86865,-269734.97577913664,-2.86932,1996162100.0,10000000000.0,10000000000.0,0.04249453,-89.23674,2024-10-08T07:10:09.290Z,8.075e-05,5563.8437,2025-03-31T11:12:22.919Z,,2026-06-20T00:04:44.879Z
big-dog-fink,bink,Big Dog Fink,https://coin-images.coingecko.com/coins/images/51674/large/IMG_6585.png?1731774784,6.152e-05,9118307,1218,9118307,171.96,6.164e-05,5.976e-05,3.75201e-07,0.61364,-26493.33723741211,-0.28971,148939223653.0687,148939223653.0687,148942491000.0,0.00516508,-98.81509,2024-11-26T17:36:33.613Z,5.307e-05,15.31468,2026-06-06T05:10:26.189Z,,2026-06-20T00:04:45.208Z
bella-protocol,bel,Bella Protocol,https://coin-images.coingecko.com/coins/images/12478/large/Bella.png?1696512296,0.115072,9117213,1217,11396516,32690018.0,0.123539,0.098764,0.01338453,13.16238,983891.0,12.09704,80000000.0,100000000.0,100000000.0,9.99,-98.85219,2020-09-15T11:44:52.153Z,0.078653,45.84789,2026-06-06T04:40:41.874Z,,2026-06-20T00:04:55.304Z
ellipsis,eps,Ellipsis [OLD],https://coin-images.coingecko.com/coins/images/14498/large/ellipsis-light.png?1696514184,0.01298944,9073735,1219,9401841,8.81,0.01308554,0.01285162,-2.7123508637187e-05,-0.20838,-19976.845221761614,-0.21968,698445817.3905587,723701571.7997887,1000000000.0,21.39,-99.93922,2021-03-24T06:47:04.289Z,0.01259098,3.27472,2026-06-05T19:20:44.402Z,,2026-06-20T00:04:51.358Z
nebius-group-ondo-tokenized,nbison,Nebius Group (Ondo Tokenized),https://coin-images.coingecko.com/coins/images/102172431/large/nbison_160x160.png?1773395603,282.47,9028334,1220,9028334,1868261.0,285.71,282.44,-2.5405505976228824,-0.8914,-79860.1703345757,-0.87679,31962.35020814886,31962.35020814886,,298.37,-5.32971,2026-06-18T13:36:02.523Z,90.12,213.43162,2026-03-30T19:28:19.488Z,,2026-06-20T00:04:42.149Z
elysia,el,ELYSIA,https://coin-images.coingecko.com/coins/images/10887/large/elysia_logo_200.png?1718149410,0.00132105,8987709,1223,8987709,372773.0,0.00133259,0.001293,7.67e-06,0.58382,52872.0,0.59175,6803300704.688,6803300704.688,7000000000.0,0.069104,-98.08836,2021-04-01T22:46:46.567Z,1.996e-05,6518.86788,2021-01-13T03:34:19.854Z,,2026-06-20T00:04:42.464Z
vifoxcoin,vfx,ViFoxCoin,https://coin-images.coingecko.com/coins/images/70913/large/ViFoxCoin.jpg?1764492572,0.905512,8981073,1225,8981073,38894.0,1.041,0.900186,-0.021227068432767338,-2.29051,-214982.64941604063,-2.33777,9916505.57,9916505.57,,1.077,-15.87401,2026-05-31T05:30:27.686Z,0.671104,34.95209,2026-04-12T14:40:38.138Z,,2026-06-20T00:04:46.761Z
xion-2,verona,Verona,https://coin-images.coingecko.com/coins/images/39034/large/verona_logo_monogram_green_white_BG.jpg?1781706707,0.126726,8978925,1222,25345060,3226598.0,0.141508,0.119277,0.00051554,0.40848,13802.05,0.15395,70853452.782498,200000000.0,,6.83,-98.14584,2024-12-08T00:00:00.000Z,0.091535,38.36709,2026-04-02T16:41:21.990Z,,2026-06-20T00:04:48.373Z
ishares-semiconductor-etf-ondo-tokenized,soxxon,iShares Semiconductor ETF (Ondo Tokenized),https://coin-images.coingecko.com/coins/images/102172428/large/soxxon_160x160.png?1773395427,640.66,8970383,1224,8970383,56748.0,644.39,639.2,1.32,0.20709,12217.06,0.13638,14001.88987315065,14001.88987315065,,644.39,-0.58007,2026-06-19T23:25:51.199Z,305.78,109.51728,2026-03-31T00:19:22.706Z,,2026-06-20T00:04:42.142Z
